x,y
-0.979832,1.03587
-0.979658,1.03734
-0.979482,1.0388
-0.979305,1.04027
-0.979128,1.04174
-0.978949,1.0432
-0.978768,1.04467
-0.978587,1.04614
-0.978405,1.0476
-0.978221,1.04907
-0.978037,1.05054
-0.977851,1.052
-0.977665,1.05347
-0.977477,1.05494
-0.977288,1.0564
-0.977098,1.05787
-0.976907,1.05934
-0.976714,1.0608
-0.976521,1.06227
-0.976327,1.06373
-0.976131,1.0652
-0.975935,1.06667
-0.975737,1.06813
-0.975538,1.0696
-0.975338,1.07106
-0.975137,1.07253
-0.974935,1.07399
-0.974732,1.07546
-0.974528,1.07692
-0.974323,1.07839
-0.974117,1.07985
-0.973909,1.08132
-0.973701,1.08278
-0.973491,1.08425
-0.973281,1.08571
-0.973069,1.08718
-0.972856,1.08864
-0.972643,1.09011
-0.972428,1.09157
-0.972212,1.09304
-0.971995,1.0945
-0.971777,1.09596
-0.971558,1.09743
-0.971338,1.09889
-0.971117,1.10035
-0.970894,1.10182
-0.970671,1.10328
-0.970447,1.10474
-0.970221,1.10621
-0.969995,1.10767
-0.969768,1.10913
-0.969539,1.11059
-0.96931,1.11206
-0.969079,1.11352
-0.968848,1.11498
-0.968615,1.11644
-0.968381,1.1179
-0.968147,1.11937
-0.967911,1.12083
-0.967674,1.12229
-0.967436,1.12375
-0.967198,1.12521
-0.966958,1.12667
-0.966717,1.12813
-0.966475,1.12959
-0.966232,1.13105
-0.965988,1.13251
-0.965744,1.13397
-0.965498,1.13543
-0.965251,1.13689
-0.965003,1.13835
-0.964754,1.13981
-0.964504,1.14127
-0.964253,1.14273
-0.964001,1.14419
-0.963748,1.14564
-0.963494,1.1471
-0.963239,1.14856
-0.962983,1.15002
-0.962726,1.15147
-0.962468,1.15293
-0.962209,1.15439
-0.961949,1.15585
-0.961689,1.1573
-0.961427,1.15876
-0.961164,1.16021
-0.9609,1.16167
-0.960635,1.16313
-0.960369,1.16458
-0.960102,1.16604
-0.959835,1.16749
-0.959566,1.16895
-0.959296,1.1704
-0.959025,1.17186
-0.958754,1.17331
-0.958481,1.17476
-0.958207,1.17622
-0.957933,1.17767
-0.957657,1.17912
-0.957381,1.18058
-0.957103,1.18203
-0.956825,1.18348
-0.956545,1.18493
-0.956265,1.18638
-0.955984,1.18783
-0.955701,1.18929
-0.955418,1.19074
-0.955134,1.19219
-0.954849,1.19364
-0.954563,1.19509
-0.954276,1.19654
-0.953988,1.19799
-0.953699,1.19944
-0.953409,1.20088
-0.953118,1.20233
-0.952827,1.20378
-0.952534,1.20523
-0.95224,1.20668
-0.951946,1.20812
-0.95165,1.20957
-0.951354,1.21102
-0.951057,1.21246
-0.950758,1.21391
-0.950459,1.21536
-0.950159,1.2168
-0.949858,1.21825
-0.949556,1.21969
-0.949253,1.22114
-0.948949,1.22258
-0.948644,1.22402
-0.948338,1.22547
-0.948031,1.22691
-0.947724,1.22835
-0.947415,1.22979
-0.947105,1.23123
-0.946794,1.23267
-0.946483,1.23412
-0.94617,1.23555
-0.945856,1.23699
-0.945541,1.23843
-0.945226,1.23987
-0.944909,1.24131
-0.944591,1.24275
-0.944272,1.24418
-0.943952,1.24562
-0.943631,1.24705
-0.943309,1.24849
-0.942986,1.24992
-0.942662,1.25135
-0.942337,1.25279
-0.942011,1.25422
-0.941684,1.25565
-0.941356,1.25708
-0.941026,1.25851
-0.940696,1.25994
-0.940364,1.26137
-0.940032,1.26279
-0.939698,1.26422
-0.939363,1.26564
-0.939027,1.26707
-0.93869,1.26849
-0.938352,1.26992
-0.938013,1.27134
-0.937673,1.27276
-0.937331,1.27418
-0.936989,1.2756
-0.936645,1.27702
-0.9363,1.27844
-0.935954,1.27985
-0.935607,1.28127
-0.935258,1.28268
-0.934909,1.2841
-0.934558,1.28551
-0.934206,1.28692
-0.933853,1.28833
-0.933499,1.28974
-0.933144,1.29115
-0.932787,1.29256
-0.932429,1.29396
-0.93207,1.29537
-0.93171,1.29677
-0.931349,1.29818
-0.930986,1.29958
-0.930623,1.30098
-0.930258,1.30238
-0.929891,1.30378
-0.929524,1.30517
-0.929155,1.30657
-0.928785,1.30797
-0.928414,1.30936
-0.928042,1.31075
-0.927668,1.31214
-0.927293,1.31353
-0.926917,1.31492
-0.92654,1.31631
-0.926161,1.31769
-0.925781,1.31908
-0.925399,1.32046
-0.925017,1.32184
-0.924633,1.32322
-0.924248,1.3246
-0.923861,1.32598
-0.923474,1.32735
-0.923085,1.32873
-0.922694,1.3301
-0.922302,1.33147
-0.921909,1.33284
-0.921515,1.33421
-0.921119,1.33558
-0.920722,1.33695
-0.920324,1.33831
-0.919924,1.33967
-0.919523,1.34103
-0.919121,1.34239
-0.918717,1.34375
-0.918312,1.34511
-0.917905,1.34646
-0.917497,1.34782
-0.917088,1.34917
-0.916677,1.35052
-0.916265,1.35186
-0.915852,1.35321
-0.915437,1.35456
-0.91502,1.3559
-0.914603,1.35724
-0.914184,1.35858
-0.913763,1.35992
-0.913341,1.36125
-0.912918,1.36259
-0.912493,1.36392
-0.912067,1.36525
-0.911639,1.36658
-0.91121,1.36791
-0.910779,1.36923
-0.910347,1.37055
-0.909914,1.37187
-0.909479,1.37319
-0.909042,1.37451
-0.908604,1.37583
-0.908165,1.37714
-0.907724,1.37845
-0.907282,1.37976
-0.906838,1.38107
-0.906392,1.38238
-0.905946,1.38368
-0.905497,1.38498
-0.905047,1.38628
-0.904596,1.38758
-0.904143,1.38887
-0.903688,1.39017
-0.903232,1.39146
-0.902775,1.39275
-0.902316,1.39403
-0.901855,1.39532
-0.901393,1.3966
-0.900929,1.39788
-0.900464,1.39916
-0.899997,1.40044
-0.899529,1.40171
-0.899059,1.40298
-0.898587,1.40425
-0.898114,1.40552
-0.897639,1.40679
-0.897163,1.40805
-0.896685,1.40931
-0.896205,1.41057
-0.895724,1.41182
-0.895241,1.41308
-0.894757,1.41433
-0.894271,1.41558
-0.893783,1.41682
-0.893294,1.41807
-0.892803,1.41931
-0.892311,1.42055
-0.891817,1.42179
-0.891321,1.42302
-0.890823,1.42425
-0.890324,1.42548
-0.889823,1.42671
-0.889321,1.42793
-0.888817,1.42916
-0.888311,1.43037
-0.887803,1.43159
-0.887294,1.43281
-0.886783,1.43402
-0.88627,1.43523
-0.885756,1.43643
-0.88524,1.43764
-0.884722,1.43884
-0.884203,1.44004
-0.883682,1.44123
-0.883159,1.44243
-0.882634,1.44362
-0.882108,1.44481
-0.88158,1.44599
-0.88105,1.44718
-0.880518,1.44836
-0.879985,1.44953
-0.87945,1.45071
-0.878913,1.45188
-0.878374,1.45305
-0.877834,1.45421
-0.877292,1.45538
-0.876748,1.45654
-0.876202,1.4577
-0.875655,1.45885
-0.875105,1.46
-0.874554,1.46115
-0.874001,1.4623
-0.873446,1.46344
-0.87289,1.46458
-0.872331,1.46572
-0.871771,1.46685
-0.871209,1.46798
-0.870645,1.46911
-0.87008,1.47024
-0.869512,1.47136
-0.868943,1.47248
-0.868371,1.4736
-0.867798,1.47471
-0.867223,1.47582
-0.866646,1.47693
-0.866067,1.47803
-0.865487,1.47913
-0.864904,1.48023
-0.86432,1.48133
-0.863734,1.48242
-0.863146,1.48351
-0.862555,1.48459
-0.861963,1.48567
-0.86137,1.48675
-0.860774,1.48783
-0.860176,1.4889
-0.859576,1.48997
-0.858975,1.49104
-0.858371,1.4921
-0.857766,1.49316
-0.857158,1.49421
-0.856549,1.49527
-0.855938,1.49632
-0.855325,1.49736
-0.854709,1.4984
-0.854092,1.49944
-0.853473,1.50048
-0.852852,1.50151
-0.852229,1.50254
-0.851604,1.50357
-0.850977,1.50459
-0.850348,1.50561
-0.849716,1.50662
-0.849083,1.50764
-0.848448,1.50864
-0.847811,1.50965
-0.847172,1.51065
-0.846531,1.51165
-0.845888,1.51264
-0.845243,1.51363
-0.844595,1.51462
-0.843946,1.5156
-0.843295,1.51658
-0.842641,1.51756
-0.841986,1.51853
-0.841328,1.5195
-0.840669,1.52047
-0.840007,1.52143
-0.839343,1.52239
-0.838678,1.52334
-0.83801,1.52429
-0.83734,1.52524
-0.836668,1.52618
-0.835993,1.52712
-0.835317,1.52805
-0.834639,1.52899
-0.833958,1.52991
-0.833276,1.53084
-0.832591,1.53176
-0.831904,1.53268
-0.831215,1.53359
-0.830524,1.5345
-0.829831,1.5354
-0.829135,1.5363
-0.828438,1.5372
-0.827738,1.53809
-0.827036,1.53898
-0.826332,1.53987
-0.825626,1.54075
-0.824917,1.54162
-0.824207,1.5425
-0.823494,1.54337
-0.822779,1.54423
-0.822062,1.54509
-0.821342,1.54595
-0.820621,1.5468
-0.819897,1.54765
-0.819171,1.5485
-0.818443,1.54934
-0.817713,1.55017
-0.81698,1.55101
-0.816245,1.55184
-0.815508,1.55266
-0.814769,1.55348
-0.814027,1.5543
-0.813283,1.55511
-0.812537,1.55591
-0.811789,1.55672
-0.811038,1.55752
-0.810285,1.55831
-0.80953,1.5591
-0.808773,1.55989
-0.808013,1.56067
-0.807251,1.56145
-0.806487,1.56222
-0.80572,1.56299
-0.804951,1.56375
-0.80418,1.56451
-0.803406,1.56527
-0.80263,1.56602
-0.801852,1.56677
-0.801072,1.56751
-0.800289,1.56825
-0.799504,1.56898
-0.798716,1.56971
-0.797926,1.57043
-0.797134,1.57115
-0.79634,1.57187
-0.795543,1.57258
-0.794744,1.57329
-0.793942,1.57399
-0.793138,1.57469
-0.792332,1.57538
-0.791523,1.57607
-0.790712,1.57675
-0.789898,1.57743
-0.789082,1.5781
-0.788264,1.57877
-0.787443,1.57944
-0.78662,1.5801
-0.785794,1.58075
-0.784966,1.5814
-0.784136,1.58205
-0.783303,1.58269
-0.782468,1.58333
-0.78163,1.58396
-0.78079,1.58459
-0.779947,1.58521
-0.779102,1.58583
-0.778254,1.58644
-0.777404,1.58705
-0.776552,1.58765
-0.775697,1.58825
-0.77484,1.58884
-0.77398,1.58943
-0.773117,1.59002
-0.772252,1.59059
-0.771385,1.59117
-0.770515,1.59174
-0.769643,1.5923
-0.768768,1.59286
-0.767891,1.59341
-0.767011,1.59396
-0.766128,1.59451
-0.765243,1.59504
-0.764356,1.59558
-0.763466,1.59611
-0.762573,1.59663
-0.761678,1.59715
-0.76078,1.59766
-0.75988,1.59817
-0.758977,1.59867
-0.758072,1.59917
-0.757164,1.59967
-0.756253,1.60015
-0.75534,1.60064
-0.754424,1.60111
-0.753506,1.60158
-0.752585,1.60205
-0.751662,1.60251
-0.750736,1.60297
-0.749807,1.60342
-0.748876,1.60387
-0.747942,1.60431
-0.747005,1.60474
-0.746066,1.60517
-0.745124,1.6056
-0.74418,1.60602
-0.743233,1.60643
-0.742283,1.60684
-0.741331,1.60724
-0.740375,1.60764
-0.739418,1.60803
-0.738457,1.60842
-0.737494,1.6088
-0.736529,1.60918
-0.73556,1.60955
-0.734589,1.60991
-0.733615,1.61027
-0.732639,1.61063
-0.73166,1.61098
-0.730678,1.61132
-0.729693,1.61166
-0.728706,1.61199
-0.727716,1.61231
-0.726723,1.61264
-0.725728,1.61295
-0.724729,1.61326
-0.723729,1.61356
-0.722725,1.61386
-0.721718,1.61415
-0.720709,1.61444
-0.719697,1.61472
-0.718683,1.615
-0.717665,1.61527
-0.716645,1.61553
-0.715622,1.61579
-0.714596,1.61604
-0.713568,1.61629
-0.712536,1.61653
-0.711502,1.61677
-0.710465,1.61699
-0.709425,1.61722
-0.708383,1.61744
-0.707337,1.61765
-0.706289,1.61785
-0.705238,1.61805
-0.704184,1.61825
-0.703128,1.61844
-0.702068,1.61862
-0.701006,1.61879
-0.699941,1.61896
-0.698873,1.61913
-0.697802,1.61929
-0.696728,1.61944
-0.695651,1.61959
-0.694572,1.61973
-0.693489,1.61986
-0.692404,1.61999
-0.691316,1.62011
-0.690225,1.62023
-0.689131,1.62034
-0.688034,1.62044
-0.686935,1.62054
-0.685832,1.62063
-0.684726,1.62072
-0.683618,1.6208
-0.682507,1.62087
-0.681392,1.62094
-0.680275,1.621
-0.679155,1.62105
-0.678032,1.6211
-0.676906,1.62114
-0.675777,1.62118
-0.674645,1.62121
-0.67351,1.62123
-0.672372,1.62125
-0.671231,1.62126
-0.670087,1.62126
-0.668941,1.62126
-0.667791,1.62125
-0.666638,1.62123
-0.665482,1.62121
-0.664324,1.62119
-0.663162,1.62115
-0.661997,1.62111
-0.660829,1.62106
-0.659659,1.62101
-0.658485,1.62095
-0.657308,1.62088
-0.656128,1.62081
-0.654945,1.62073
-0.653759,1.62065
-0.65257,1.62055
-0.651378,1.62045
-0.650183,1.62035
-0.648985,1.62024
-0.647784,1.62012
-0.64658,1.61999
-0.645372,1.61986
-0.644162,1.61972
-0.642948,1.61958
-0.641732,1.61942
-0.640512,1.61927
-0.639289,1.6191
-0.638063,1.61893
-0.636834,1.61875
-0.635602,1.61856
-0.634367,1.61837
-0.633129,1.61817
-0.631887,1.61797
-0.630643,1.61775
-0.629395,1.61754
-0.628144,1.61731
-0.62689,1.61708
-0.625633,1.61684
-0.624373,1.61659
-0.623109,1.61634
-0.621843,1.61608
-0.620573,1.61581
-0.6193,1.61553
-0.618024,1.61525
-0.616745,1.61496
-0.615462,1.61467
-0.614176,1.61437
-0.612887,1.61406
-0.611595,1.61374
-0.6103,1.61342
-0.609002,1.61309
-0.6077,1.61275
-0.606395,1.61241
-0.605087,1.61205
-0.603775,1.6117
-0.602461,1.61133
-0.601143,1.61096
-0.599822,1.61058
-0.598497,1.61019
-0.59717,1.6098
-0.595839,1.6094
-0.594505,1.60899
-0.593168,1.60857
-0.591827,1.60815
-0.590483,1.60772
-0.589136,1.60728
-0.587785,1.60684
-0.586431,1.60638
-0.585074,1.60593
-0.583714,1.60546
-0.582351,1.60499
-0.580984,1.60451
-0.579614,1.60402
-0.578241,1.60352
-0.576865,1.60302
-0.575486,1.60251
-0.574103,1.602
-0.572718,1.60147
-0.57133,1.60094
-0.569938,1.60041
-0.568544,1.59986
-0.567147,1.59931
-0.565746,1.59876
-0.564343,1.59819
-0.562937,1.59762
-0.561528,1.59705
-0.560117,1.59646
-0.558702,1.59587
-0.557285,1.59528
-0.555865,1.59467
-0.554442,1.59406
-0.553016,1.59345
-0.551588,1.59282
-0.550157,1.59219
-0.548724,1.59156
-0.547287,1.59092
-0.545849,1.59027
-0.544407,1.58961
-0.542963,1.58895
-0.541517,1.58829
-0.540068,1.58761
-0.538617,1.58693
-0.537163,1.58625
-0.535707,1.58556
-0.534248,1.58486
-0.532787,1.58415
-0.531324,1.58344
-0.529858,1.58273
-0.52839,1.58201
-0.52692,1.58128
-0.525447,1.58055
-0.523972,1.57981
-0.522495,1.57906
-0.521016,1.57831
-0.519535,1.57755
-0.518051,1.57679
-0.516566,1.57602
-0.515078,1.57525
-0.513588,1.57447
-0.512097,1.57369
-0.510603,1.5729
-0.509107,1.5721
-0.507609,1.5713
-0.506109,1.57049
-0.504608,1.56968
-0.503104,1.56886
-0.501599,1.56804
-0.500091,1.56721
-0.498582,1.56638
-0.497071,1.56554
-0.495559,1.5647
-0.494044,1.56385
-0.492528,1.56299
-0.49101,1.56214
-0.489491,1.56127
-0.487969,1.5604
-0.486446,1.55953
-0.484922,1.55865
-0.483396,1.55776
-0.481868,1.55687
-0.480339,1.55598
-0.478808,1.55508
-0.477276,1.55418
-0.475743,1.55327
-0.474208,1.55236
-0.472671,1.55144
-0.471133,1.55052
-0.469594,1.54959
-0.468053,1.54866
-0.466511,1.54772
-0.464968,1.54678
-0.463424,1.54583
-0.461878,1.54488
-0.460331,1.54393
-0.458783,1.54297
-0.457233,1.54201
-0.455683,1.54104
-0.454131,1.54007
-0.452578,1.53909
-0.451024,1.53811
-0.449469,1.53713
-0.447913,1.53614
-0.446356,1.53514
-0.444798,1.53415
-0.44324,1.53314
-0.44168,1.53214
-0.440119,1.53113
-0.438557,1.53012
-0.436995,1.5291
-0.435431,1.52808
-0.433867,1.52705
-0.432302,1.52602
-0.430736,1.52499
-0.42917,1.52395
-0.427603,1.52291
-0.426035,1.52187
-0.424466,1.52082
-0.422897,1.51977
-0.421327,1.51871
-0.419756,1.51765
-0.418185,1.51659
-0.416614,1.51552
-0.415041,1.51445
-0.413469,1.51338
-0.411896,1.51231
-0.410322,1.51123
-0.408748,1.51014
-0.407173,1.50906
-0.405598,1.50797
-0.404023,1.50687
-0.402448,1.50578
-0.400872,1.50468
-0.399296,1.50357
-0.397719,1.50247
-0.396142,1.50136
-0.394566,1.50025
-0.392988,1.49913
-0.391411,1.49801
-0.389834,1.49689
-0.388256,1.49577
-0.386678,1.49464
-0.385101,1.49351
-0.383523,1.49238
-0.381945,1.49124
-0.380367,1.4901
-0.378789,1.48896
-0.377212,1.48782
-0.375634,1.48667
-0.374056,1.48552
-0.372479,1.48437
-0.370902,1.48321
-0.369324,1.48206
-0.367747,1.4809
-0.366171,1.47973
-0.364594,1.47857
-0.363018,1.4774
-0.361442,1.47623
-0.359866,1.47506
-0.358291,1.47389
-0.356716,1.47271
-0.355141,1.47153
-0.353567,1.47035
-0.351993,1.46917
-0.350419,1.46798
-0.348847,1.46679
-0.347274,1.4656
-0.345702,1.46441
-0.344131,1.46322
-0.34256,1.46202
-0.34099,1.46082
-0.339421,1.45962
-0.337852,1.45842
-0.336283,1.45722
-0.334716,1.45601
-0.333149,1.45481
-0.331583,1.4536
-0.330018,1.45239
-0.328453,1.45117
-0.326889,1.44996
-0.325326,1.44874
-0.323764,1.44753
-0.322203,1.44631
-0.320643,1.44509
-0.319084,1.44387
-0.317525,1.44264
-0.315968,1.44142
-0.314411,1.44019
-0.312856,1.43896
-0.311302,1.43773
-0.309749,1.4365
-0.308196,1.43527
-0.306645,1.43404
-0.305096,1.4328
-0.303547,1.43157
-0.301999,1.43033
-0.300453,1.42909
-0.298908,1.42786
-0.297364,1.42662
-0.295822,1.42537
-0.294281,1.42413
-0.292741,1.42289
-0.291202,1.42165
-0.289665,1.4204
-0.288129,1.41916
-0.286595,1.41791
-0.285062,1.41666
-0.283531,1.41541
-0.282001,1.41416
-0.280473,1.41292
-0.278946,1.41167
-0.277421,1.41041
-0.275898,1.40916
-0.274376,1.40791
-0.272855,1.40666
-0.271337,1.40541
-0.26982,1.40415
-0.268305,1.4029
-0.266791,1.40164
-0.26528,1.40039
-0.26377,1.39913
-0.262262,1.39788
-0.260755,1.39662
-0.259251,1.39537
-0.257749,1.39411
-0.256248,1.39286
-0.254749,1.3916
-0.253253,1.39034
-0.251758,1.38909
-0.250266,1.38783
-0.248775,1.38657
-0.247286,1.38532
-0.2458,1.38406
-0.244315,1.3828
-0.242833,1.38155
-0.241353,1.38029
-0.239875,1.37903
-0.238399,1.37778
-0.236926,1.37652
-0.235455,1.37527
-0.233986,1.37401
-0.232519,1.37276
-0.231055,1.3715
-0.229593,1.37025
-0.228133,1.369
-0.226676,1.36774
-0.225221,1.36649
-0.223769,1.36524
-0.222319,1.36399
-0.220871,1.36274
-0.219426,1.36149
-0.217984,1.36024
-0.216544,1.35899
-0.215107,1.35774
-0.213672,1.35649
-0.21224,1.35525
-0.210811,1.354
-0.209384,1.35276
-0.20796,1.35151
-0.206539,1.35027
-0.20512,1.34903
-0.203705,1.34779
-0.202292,1.34655
-0.200882,1.34531
-0.199475,1.34407
-0.19807,1.34283
-0.196669,1.3416
-0.19527,1.34036
-0.193875,1.33913
-0.192482,1.3379
-0.191092,1.33667
-0.189706,1.33544
-0.188322,1.33421
-0.186942,1.33298
-0.185564,1.33176
-0.18419,1.33053
-0.182819,1.32931
-0.181451,1.32809
-0.180086,1.32687
-0.178724,1.32565
-0.177366,1.32444
-0.17601,1.32322
-0.174659,1.32201
-0.17331,1.3208
-0.171965,1.31959
-0.170623,1.31838
-0.169284,1.31718
-0.167949,1.31598
-0.166618,1.31477
-0.165289,1.31357
-0.163965,1.31238
-0.162643,1.31118
-0.161326,1.30999
-0.160011,1.30879
-0.158701,1.3076
-0.157394,1.30642
-0.15609,1.30523
-0.15479,1.30405
-0.153494,1.30287
-0.152202,1.30169
-0.150913,1.30051
-0.149628,1.29934
-0.148347,1.29816
-0.147069,1.29699
-0.145796,1.29583
-0.144526,1.29466
-0.14326,1.2935
-0.141998,1.29234
-0.14074,1.29118
-0.139485,1.29003
-0.138235,1.28887
-0.136989,1.28772
-0.135746,1.28658
-0.134508,1.28543
-0.133274,1.28429
-0.132044,1.28315
-0.130818,1.28202
-0.129596,1.28088
-0.128378,1.27975
-0.127164,1.27863
-0.125955,1.2775
-0.124749,1.27638
-0.123548,1.27526
-0.122352,1.27414
-0.121159,1.27303
-0.119971,1.27192
-0.118787,1.27082
-0.117608,1.26971
-0.116433,1.26861
-0.115262,1.26752
-0.114096,1.26642
-0.112934,1.26533
-0.111777,1.26425
-0.110624,1.26316
-0.109475,1.26208
-0.108332,1.261
-0.107193,1.25993
-0.106058,1.25886
-0.104928,1.2578
-0.103803,1.25673
-0.102682,1.25567
-0.101566,1.25462
-0.100455,1.25357
-0.0993486,1.25252
-0.0982469,1.25147
-0.0971499,1.25043
-0.0960578,1.24939
-0.0949706,1.24836
-0.0938882,1.24733
-0.0928107,1.24631
-0.0917381,1.24528
-0.0906704,1.24427
-0.0896077,1.24325
-0.08855,1.24224
-0.0874972,1.24124
-0.0864495,1.24023
-0.0854069,1.23924
-0.0843693,1.23824
-0.0833369,1.23725
-0.0823095,1.23627
-0.0812874,1.23529
-0.0802704,1.23431
-0.0792585,1.23334
-0.078252,1.23237
-0.0772506,1.23141
-0.0762545,1.23045
-0.0752638,1.22949
-0.0742783,1.22854
-0.0732982,1.2276
-0.0723234,1.22665
-0.071354,1.22572
-0.0703901,1.22479
-0.0694316,1.22386
-0.0684785,1.22293
-0.067531,1.22202
-0.0665889,1.2211
-0.0656524,1.22019
-0.0647214,1.21929
-0.063796,1.21839
-0.0628762,1.2175
-0.0619621,1.21661
-0.0610536,1.21572
-0.0601508,1.21484
-0.0592536,1.21397
-0.0583622,1.2131
-0.0574766,1.21223
-0.0565967,1.21137
-0.0557227,1.21052
-0.0548544,1.20967
-0.053992,1.20883
-0.0531355,1.20799
-0.0522848,1.20715
-0.0514401,1.20632
-0.0506013,1.2055
-0.0497685,1.20468
-0.0489416,1.20387
-0.0481208,1.20306
-0.047306,1.20226
-0.0464973,1.20147
-0.0456947,1.20067
-0.0448981,1.19989
-0.0441077,1.19911
-0.0433235,1.19834
-0.0425454,1.19757
-0.0417736,1.19681
-0.041008,1.19605
-0.0402486,1.1953
-0.0394955,1.19455
-0.0387487,1.19381
-0.0380082,1.19308
-0.0372741,1.19235
-0.0365464,1.19163
-0.035825,1.19091
-0.0351101,1.1902
-0.0344016,1.1895
-0.0336996,1.1888
-0.033004,1.18811
-0.032315,1.18742
-0.0316326,1.18674
-0.0309567,1.18607
-0.0302873,1.1854
-0.0296246,1.18474
-0.0289686,1.18408
-0.0283192,1.18343
-0.0276764,1.18279
-0.0270404,1.18215
-0.0264111,1.18152
-0.0257886,1.1809
-0.0251729,1.18028
-0.0245639,1.17967
-0.0239618,1.17907
-0.0233665,1.17847
-0.0227782,1.17788
-0.0221967,1.1773
-0.0216221,1.17672
-0.0210545,1.17615
-0.0204939,1.17558
-0.0199402,1.17503
-0.0193936,1.17448
-0.018854,1.17393
-0.0183215,1.1734
-0.0177961,1.17287
-0.0172778,1.17234
-0.0167666,1.17183
-0.0162626,1.17132
-0.0157658,1.17081
-0.0152762,1.17032
-0.0147938,1.16983
-0.0143187,1.16935
-0.0138509,1.16888
-0.0133904,1.16841
-0.0129372,1.16795
-0.0124913,1.1675
-0.0120529,1.16705
-0.0116219,1.16661
-0.0111982,1.16618
-0.0107821,1.16576
-0.0103734,1.16534
-0.00997218,1.16494
-0.00957852,1.16453
-0.0091924,1.16414
-0.00881385,1.16375
-0.00844289,1.16338
-0.00807956,1.16301
-0.00772387,1.16264
-0.00737585,1.16229
-0.00703551,1.16194
-0.0067029,1.1616
-0.00637802,1.16127
-0.00606091,1.16094
-0.00575158,1.16063
-0.00545006,1.16032
-0.00515638,1.16002
-0.00487056,1.15972
-0.00459262,1.15944
-0.00432259,1.15916
-0.00406049,1.15889
-0.00380634,1.15863
-0.00356018,1.15838
-0.00332201,1.15813
-0.00309188,1.1579
-0.00286979,1.15767
-0.00265578,1.15745
-0.00244987,1.15723
-0.00225208,1.15703
-0.00206244,1.15683
-0.00188097,1.15665
-0.00170769,1.15647
-0.00154263,1.1563
-0.00138582,1.15614
-0.00123727,1.15598
-0.00109702,1.15584
-0.000965073,1.1557
-0.000841469,1.15557
-0.000726227,1.15545
-0.000619373,1.15534
-0.000520929,1.15524
-0.000430919,1.15515
-0.000349368,1.15506
-0.0002763,1.15499
-0.000211738,1.15492
-0.000155706,1.15486
-0.000108229,1.15481
-6.93307e-05,1.15477
-3.90345e-05,1.15474
-1.73646e-05,1.15472
-4.34516e-06,1.15471
-2.44921e-16,1.1547
